visits_per_day,avg_fee,monthly_visits,revenue_total,variable_costs,fixed_costs,gross_margin,net_operating
11,140,242,21780.00,3025.00,27300.00,18755.00,-8545.00
11,145,242,22385.00,3025.00,27300.00,19360.00,-7940.00
11,150,242,22990.00,3025.00,27300.00,19965.00,-7335.00
12,50,264,11880.00,3300.00,27300.00,8580.00,-18720.00
12,55,264,12540.00,3300.00,27300.00,9240.00,-18060.00
12,60,264,13200.00,3300.00,27300.00,9900.00,-17400.00
12,65,264,13860.00,3300.00,27300.00,10560.00,-16740.00
12,70,264,14520.00,3300.00,27300.00,11220.00,-16080.00
12,75,264,15180.00,3300.00,27300.00,11880.00,-15420.00
12,80,264,15840.00,3300.00,27300.00,12540.00,-14760.00
12,85,264,16500.00,3300.00,27300.00,13200.00,-14100.00
12,90,264,17160.00,3300.00,27300.00,13860.00,-13440.00
12,95,264,17820.00,3300.00,27300.00,14520.00,-12780.00
12,100,264,18480.00,3300.00,27300.00,15180.00,-12120.00
12,105,264,19140.00,3300.00,27300.00,15840.00,-11460.00
12,110,264,19800.00,3300.00,27300.00,16500.00,-10800.00
12,115,264,20460.00,3300.00,27300.00,17160.00,-10140.00
12,120,264,21120.00,3300.00,27300.00,17820.00,-9480.00
12,125,264,21780.00,3300.00,27300.00,18480.00,-8820.00
12,130,264,22440.00,3300.00,27300.00,19140.00,-8160.00
12,135,264,23100.00,3300.00,27300.00,19800.00,-7500.00
12,140,264,23760.00,3300.00,27300.00,20460.00,-6840.00
12,145,264,24420.00,3300.00,27300.00,21120.00,-6180.00
12,150,264,25080.00,3300.00,27300.00,21780.00,-5520.00
13,50,286,12870.00,3575.00,27300.00,9295.00,-18005.00
13,55,286,13585.00,3575.00,27300.00,10010.00,-17290.00
13,60,286,14300.00,3575.00,27300.00,10725.00,-16575.00
13,65,286,15015.00,3575.00,27300.00,11440.00,-15860.00
13,70,286,15730.00,3575.00,27300.00,12155.00,-15145.00
13,75,286,16445.00,3575.00,27300.00,12870.00,-14430.00
13,80,286,17160.00,3575.00,27300.00,13585.00,-13715.00
13,85,286,17875.00,3575.00,27300.00,14300.00,-13000.00
13,90,286,18590.00,3575.00,27300.00,15015.00,-12285.00
13,95,286,19305.00,3575.00,27300.00,15730.00,-11570.00
... (output truncated for brevity in file creation)
